,Delay [ms],Num ReTx,delayType
352,1.1080400000000001,1,$T_{Phy\_Ctrl}$
353,0.79983,4,$T_{Phy\_Ctrl}$
354,1.5412,0,$T_{Phy\_Ctrl}$
355,1.03307,1,$T_{Phy\_Ctrl}$
356,2.11602,0,$T_{Phy\_Ctrl}$
357,1.46648,0,$T_{Phy\_Ctrl}$
358,1.29983,0,$T_{Phy\_Ctrl}$
359,1.34148,0,$T_{Phy\_Ctrl}$
360,1.34148,0,$T_{Phy\_Ctrl}$
361,1.29983,0,$T_{Phy\_Ctrl}$
362,1.9577499999999999,0,$T_{Phy\_Ctrl}$
363,1.42483,1,$T_{Phy\_Ctrl}$
364,1.42483,1,$T_{Phy\_Ctrl}$
365,1.29983,0,$T_{Phy\_Ctrl}$
366,1.42483,2,$T_{Phy\_Ctrl}$
367,1.34148,0,$T_{Phy\_Ctrl}$
368,1.58305,0,$T_{Phy\_Ctrl}$
369,0.9581000000000001,2,$T_{Phy\_Ctrl}$
370,1.26631,1,$T_{Phy\_Ctrl}$
371,1.34148,0,$T_{Phy\_Ctrl}$
372,0.94977,2,$T_{Phy\_Ctrl}$
373,1.41645,1,$T_{Phy\_Ctrl}$
374,1.46648,0,$T_{Phy\_Ctrl}$
375,1.46648,0,$T_{Phy\_Ctrl}$
376,1.1080400000000001,1,$T_{Phy\_Ctrl}$
377,1.42483,0,$T_{Phy\_Ctrl}$
378,1.4998,0,$T_{Phy\_Ctrl}$
379,1.4581,3,$T_{Phy\_Ctrl}$
380,0.84148,0,$T_{Phy\_Ctrl}$
381,1.5495800000000002,0,$T_{Phy\_Ctrl}$
382,1.34148,4,$T_{Phy\_Ctrl}$
383,1.5831,0,$T_{Phy\_Ctrl}$
384,1.5747200000000001,0,$T_{Phy\_Ctrl}$
385,1.34148,2,$T_{Phy\_Ctrl}$
386,1.29983,2,$T_{Phy\_Ctrl}$
387,2.0412,1,$T_{Phy\_Ctrl}$
388,1.34148,0,$T_{Phy\_Ctrl}$
389,1.29983,1,$T_{Phy\_Ctrl}$
390,1.41645,0,$T_{Phy\_Ctrl}$
391,1.29983,0,$T_{Phy\_Ctrl}$
392,1.34148,0,$T_{Phy\_Ctrl}$
393,2.0412,1,$T_{Phy\_Ctrl}$
394,1.34148,0,$T_{Phy\_Ctrl}$
395,1.9493699999999998,0,$T_{Phy\_Ctrl}$
396,1.41645,2,$T_{Phy\_Ctrl}$
397,0.9164500000000001,0,$T_{Phy\_Ctrl}$
398,1.6080400000000001,0,$T_{Phy\_Ctrl}$
399,1.40812,0,$T_{Phy\_Ctrl}$
400,1.34148,0,$T_{Phy\_Ctrl}$
401,2.15782,0,$T_{Phy\_Ctrl}$
402,1.34148,2,$T_{Phy\_Ctrl}$
403,1.4581,0,$T_{Phy\_Ctrl}$
404,2.01606,0,$T_{Phy\_Ctrl}$
405,1.42483,0,$T_{Phy\_Ctrl}$
406,1.92458,1,$T_{Phy\_Ctrl}$
407,1.41645,0,$T_{Phy\_Ctrl}$
408,1.34148,0,$T_{Phy\_Ctrl}$
409,1.6997200000000001,0,$T_{Phy\_Ctrl}$
410,0.84148,0,$T_{Phy\_Ctrl}$
411,1.38293,0,$T_{Phy\_Ctrl}$
412,1.53307,0,$T_{Phy\_Ctrl}$
413,1.9577499999999999,0,$T_{Phy\_Ctrl}$
414,1.41645,0,$T_{Phy\_Ctrl}$
415,0.7748400000000001,0,$T_{Phy\_Ctrl}$
416,0.7748400000000001,0,$T_{Phy\_Ctrl}$
417,1.30796,0,$T_{Phy\_Ctrl}$
418,1.6080400000000001,0,$T_{Phy\_Ctrl}$
419,1.5412000000000001,0,$T_{Phy\_Ctrl}$
420,0.9581000000000001,0,$T_{Phy\_Ctrl}$
421,1.46648,0,$T_{Phy\_Ctrl}$
422,2.2493,0,$T_{Phy\_Ctrl}$
423,1.34148,0,$T_{Phy\_Ctrl}$
424,1.34148,0,$T_{Phy\_Ctrl}$
425,1.92458,1,$T_{Phy\_Ctrl}$
426,1.34148,2,$T_{Phy\_Ctrl}$
427,1.5831,0,$T_{Phy\_Ctrl}$
428,1.39146,1,$T_{Phy\_Ctrl}$
429,1.46648,1,$T_{Phy\_Ctrl}$
430,1.4581,0,$T_{Phy\_Ctrl}$
431,1.4581,2,$T_{Phy\_Ctrl}$
432,1.4581,0,$T_{Phy\_Ctrl}$
433,1.24132,0,$T_{Phy\_Ctrl}$
434,1.34148,0,$T_{Phy\_Ctrl}$
435,1.3579400000000001,0,$T_{Phy\_Ctrl}$
436,1.9912699999999999,0,$T_{Phy\_Ctrl}$
437,1.96603,2,$T_{Phy\_Ctrl}$
438,2.0577099999999997,0,$T_{Phy\_Ctrl}$
439,1.9993999999999998,0,$T_{Phy\_Ctrl}$
440,1.27484,0,$T_{Phy\_Ctrl}$
441,2.04145,0,$T_{Phy\_Ctrl}$
442,1.34148,0,$T_{Phy\_Ctrl}$
443,1.34148,1,$T_{Phy\_Ctrl}$
444,1.34148,2,$T_{Phy\_Ctrl}$
445,1.30796,0,$T_{Phy\_Ctrl}$
446,1.9993999999999998,0,$T_{Phy\_Ctrl}$
447,1.50808,0,$T_{Phy\_Ctrl}$
448,1.46648,0,$T_{Phy\_Ctrl}$
449,1.9993999999999998,0,$T_{Phy\_Ctrl}$
450,1.29983,0,$T_{Phy\_Ctrl}$
451,2.07437,0,$T_{Phy\_Ctrl}$
452,1.34148,0,$T_{Phy\_Ctrl}$
453,1.96648,0,$T_{Phy\_Ctrl}$
454,1.4581,0,$T_{Phy\_Ctrl}$
455,0.91645,0,$T_{Phy\_Ctrl}$
456,1.4581,0,$T_{Phy\_Ctrl}$
457,1.53307,0,$T_{Phy\_Ctrl}$
458,1.44982,0,$T_{Phy\_Ctrl}$
459,2.15782,0,$T_{Phy\_Ctrl}$
460,1.5747200000000001,0,$T_{Phy\_Ctrl}$
461,1.42458,0,$T_{Phy\_Ctrl}$
462,0.9581000000000001,4,$T_{Phy\_Ctrl}$
463,1.41645,2,$T_{Phy\_Ctrl}$
464,2.01606,0,$T_{Phy\_Ctrl}$
465,0.84148,0,$T_{Phy\_Ctrl}$
466,1.4581,2,$T_{Phy\_Ctrl}$
467,1.34148,2,$T_{Phy\_Ctrl}$
468,1.29983,1,$T_{Phy\_Ctrl}$
469,1.4581,2,$T_{Phy\_Ctrl}$
470,1.34148,2,$T_{Phy\_Ctrl}$
471,1.34148,0,$T_{Phy\_Ctrl}$
472,1.99955,0,$T_{Phy\_Ctrl}$
473,1.34148,0,$T_{Phy\_Ctrl}$
474,2.11617,1,$T_{Phy\_Ctrl}$
475,0.8498600000000001,0,$T_{Phy\_Ctrl}$
476,1.34148,0,$T_{Phy\_Ctrl}$
477,1.42483,2,$T_{Phy\_Ctrl}$
478,1.29983,0,$T_{Phy\_Ctrl}$
479,1.34148,0,$T_{Phy\_Ctrl}$
480,1.92483,1,$T_{Phy\_Ctrl}$
481,1.34148,0,$T_{Phy\_Ctrl}$
482,1.4581,3,$T_{Phy\_Ctrl}$
483,1.9993999999999998,0,$T_{Phy\_Ctrl}$
484,1.41645,2,$T_{Phy\_Ctrl}$
485,2.5991600000000004,0,$T_{Phy\_Ctrl}$
486,1.29983,1,$T_{Phy\_Ctrl}$
487,2.04145,0,$T_{Phy\_Ctrl}$
488,2.71578,0,$T_{Phy\_Ctrl}$
489,2.0412,0,$T_{Phy\_Ctrl}$
490,1.96648,0,$T_{Phy\_Ctrl}$
491,2.55751,0,$T_{Phy\_Ctrl}$
492,0.79983,0,$T_{Phy\_Ctrl}$
493,1.6161699999999999,0,$T_{Phy\_Ctrl}$
494,1.34148,0,$T_{Phy\_Ctrl}$
495,1.92458,0,$T_{Phy\_Ctrl}$
496,1.92458,1,$T_{Phy\_Ctrl}$
497,1.29983,0,$T_{Phy\_Ctrl}$
498,1.30796,0,$T_{Phy\_Ctrl}$
499,1.43296,0,$T_{Phy\_Ctrl}$
500,1.34148,0,$T_{Phy\_Ctrl}$
501,1.34148,0,$T_{Phy\_Ctrl}$
502,1.93296,0,$T_{Phy\_Ctrl}$
503,1.4581,0,$T_{Phy\_Ctrl}$
504,1.46648,0,$T_{Phy\_Ctrl}$
505,1.46648,0,$T_{Phy\_Ctrl}$
506,1.34148,0,$T_{Phy\_Ctrl}$
507,1.0747200000000001,0,$T_{Phy\_Ctrl}$
508,1.41645,0,$T_{Phy\_Ctrl}$
509,1.30796,0,$T_{Phy\_Ctrl}$
510,1.92483,0,$T_{Phy\_Ctrl}$
511,1.9993999999999998,0,$T_{Phy\_Ctrl}$
512,2.69912,0,$T_{Phy\_Ctrl}$
