,MCS UL,WB CQI_bins
229,11.928571428571429,8
230,5.444444444444445,7
231,4.214285714285714,7
232,6.375,12
233,2.8,11
234,12.6,10
235,7.166666666666667,12
236,8.714285714285714,9
237,13.875,12
238,12.214285714285714,9
239,8.2,9
240,6.6,10
241,20.27272727272728,11
242,7.714285714285714,10
243,10.857142857142858,10
244,10.826086956521738,7
245,10.047619047619047,9
246,19.72222222222222,12
247,8.5,12
248,13.4,11
249,14.25,9
250,7.722222222222222,9
251,12.0,12
252,11.3,11
253,7.166666666666667,9
254,10.157894736842104,10
255,10.961538461538462,10
256,2.5,7
257,18.423076923076923,10
258,5.352941176470588,9
259,3.466666666666667,9
260,0.7777777777777778,8
261,8.31578947368421,9
262,0.0,7
263,15.285714285714286,10
264,13.4,11
265,23.0,9
266,8.0,7
267,21.0,8
268,0.0,9
269,10.473684210526317,8
270,11.22222222222222,10
271,15.125,10
272,9.333333333333334,10
273,8.666666666666666,12
274,11.6,11
275,9.2,11
276,14.772727272727272,9
277,4.714285714285714,9
278,16.8,9
279,8.0,9
280,13.076923076923077,9
281,7.555555555555555,11
282,8.2,8
283,6.0,9
284,8.666666666666666,9
285,4.454545454545454,9
286,4.538461538461538,11
287,2.2857142857142856,8
288,13.615384615384617,9
289,12.214285714285714,10
290,10.692307692307692,9
291,6.809523809523809,11
292,7.0588235294117645,9
293,3.4,10
294,8.75,9
295,11.125,9
296,14.9,6
297,12.25,9
298,9.68421052631579,11
299,8.818181818181818,11
300,13.0,10
301,6.933333333333334,10
302,9.583333333333334,10
303,6.75,9
304,13.166666666666666,9
305,8.555555555555555,9
306,12.0,10
307,10.666666666666666,10
308,12.31578947368421,12
309,9.923076923076923,11
310,6.555555555555555,8
311,9.2,9
312,15.0,10
313,13.91304347826087,10
314,7.92,10
315,8.578947368421053,11
316,16.55,10
317,13.4,12
318,5.8,12
319,15.666666666666666,12
320,9.6,12
321,15.857142857142858,10
322,9.5,11
323,7.1,11
324,12.625,10
325,6.0,11
326,9.909090909090908,10
327,10.666666666666666,10
328,3.6818181818181817,9
329,9.666666666666666,11
330,15.071428571428571,11
331,10.529411764705882,11
332,8.4,10
333,12.285714285714286,9
334,7.090909090909091,11
335,6.166666666666667,9
336,12.333333333333334,10
337,6.0,9
338,8.0,11
339,10.75,10
340,11.88888888888889,12
341,12.4,12
342,5.866666666666666,7
343,4.782608695652174,8
344,9.785714285714286,8
345,9.5,9
346,8.6875,11
347,12.77777777777778,12
348,14.68421052631579,12
349,10.875,11
350,10.153846153846152,11
351,5.2,11
352,14.444444444444445,11
353,15.153846153846152,11
354,11.266666666666667,10
355,9.61111111111111,12
356,11.647058823529411,10
357,3.64,8
358,13.85,11
359,11.642857142857142,10
360,12.48148148148148,11
361,0.6666666666666666,9
362,1.375,9
363,17.2,10
364,10.7,11
365,8.428571428571429,8
366,13.375,10
367,4.375,10
368,19.692307692307693,11
369,9.6875,10
370,12.0,11
371,4.833333333333333,10
372,9.428571428571429,10
373,11.954545454545457,11
374,4.363636363636363,10
375,9.857142857142858,11
376,8.461538461538462,11
